,"Active Status","Type","Item","Description","Sales Tax Code","Account","COGS Account","Asset Account","Accumulated Depreciation","Purchase Description","Quantity On Hand","Cost","Preferred Vendor","Tax Agency","Price","Reorder Pt (Min)","MPN"
,"Not-active","Service","24F NEW",,,"47900 · Sales",,,0.00,,"",0.00,,,86.95,"",
,"Not-active","Service","78NEW","7860 NEW BATTERY 60 MONTH WARRANTY","Tax","47900 · Sales",,,0.00,,"",0.00,,,82.95,"",
,"Not-active","Service","A224SSB","CABLE CORD..","Tax","47900 · Sales",,,0.00,,"",0.00,,,4.99,"",
,"Not-active","Service","EV528","BLACK FEVERED BATTERY LATERN 6 VOLT","Tax","47900 · Sales",,,0.00,,"",0.00,,,6.95,"",
,"Active","Service","FREIGHT HANDLING",,"Tax","47900 · Sales",,,0.00,,"",0.00,,,20.00,"",
,"Active","Service","NT72AAA","NT72AAA","Tax","47900 · Sales",,,0.00,,"",0.00,,,2.75,"",
,"Active","Service","T105","TROJAN 105 GOLF CART BATTERY","Tax","47900 · Sales",,,0.00,,"",0.00,,,108.95,"",
,"Active","Inventory Part","00801-0638","12 V BATTERY GREY FISHER PRICE","Tax","47900 · Sales","50000 · Cost of Goods Sold","12100 · Inventory Asset",0.00,"12 V BATTERY GREY FISHER PRICE",-22,34.42,"POWER WHEELS",,68.84,"","00801-0638"
,"Active","Inventory Part","00801-1778","12V CHARGER W/ PROBE","Tax","47900 · Sales","50000 · Cost of Goods Sold","12100 · Inventory Asset",0.00,"12V CHARGER W/ PROBE",-1,13.25,"POWER WHEELS",,26.50,"","00801-1778"
,"Active","Inventory Part","00801-2039","FOOT SWITCH FOR A POWER WHEEL","Tax","47900 · Sales","50000 · Cost of Goods Sold","12100 · Inventory Asset",0.00,"FOOT SWITCH FOR A POWER WHEEL",0,3.50,"POWER WHEELS",,7.00,"","00801-2039"
,"Not-active","Inventory Part","01253","TERMINAL PROTECTORS","Tax","47900 · Sales","50000 · Cost of Goods Sold","12100 · Inventory Asset",0.00,"TERMINAL PROTECTORS",-1,0.00,,,2.99,"",
,"Active","Inventory Part","08100102","6 VOLT 2.5AH QUANT1 REP","Tax","47900 · Sales","50000 · Cost of Goods Sold","12100 · Inventory Asset",0.00,"6 VOLT 2.5AH QUANT1 REP",-2,14.80,"JANEZHUO MFG LTD",,21.00,"","08100102"
,"Active","Inventory Part","08100694","2 PIN GATOR CLIP TENDER","Tax","47900 · Sales","50000 · Cost of Goods Sold","12100 · Inventory Asset",0.00,"2 PIN GATOR CLIP TENDER",-23,1.36,"JANEZHUO MFG LTD",,6.95,"","08100694"
,"Active","Inventory Part","08100695","CIG ADAPTER QUICK DISCONNECT","Tax","47900 · Sales","50000 · Cost of Goods Sold","12100 · Inventory Asset",0.00,"CIG ADAPTER QUICK DISCONNECT",-5,1.85,"JANEZHUO MFG LTD",,8.95,"","08100695"
,"Active","Inventory Part","08100696","BATT TENDER QUICK DISC","Tax","47900 · Sales","50000 · Cost of Goods Sold","12100 · Inventory Asset",0.00,"BATT TENDER QUICK DISC",194,1.16,"JANEZHUO MFG LTD",,8.95,"","08100696"
,"Active","Inventory Part","081014812","12.5 FT EXTENSION","Tax","47900 · Sales","50000 · Cost of Goods Sold","12100 · Inventory Asset",0.00,"12.5 FT EXTENSION",88,1.57,"JANEZHUO MFG LTD",,10.95,"","081014812"
,"Active","Inventory Part","081014825","25FT QUICK DISCONNECT MOTOBAT CHARGER","Tax","47900 · Sales","50000 · Cost of Goods Sold","12100 · Inventory Asset",0.00,"25FT QUICK DISCONNECT MOTOBAT CHARGER",-103,2.70,"JANEZHUO MFG LTD",,12.95,"","081014825"
,"Active","Inventory Part","1/2C1300","1/2C  1300 MAH","Tax","47900 · Sales","50000 · Cost of Goods Sold","12100 · Inventory Asset",0.00,"1/2C  1300 MAH",-14,0.536,"JINDA",,4.99,"","1/2C1300"
,"Active","Inventory Part","10060","GRP 100 60 MONTH WARRANTY","Tax","47900 · Sales","50000 · Cost of Goods Sold","12100 · Inventory Asset",0.00,"GRP 100 60 MONTH WARRANTY",0,88.00,"BATTERY DISTRIBUTORS",,146.95,"","100-60"
,"Active","Inventory Part","10110PCS","CHROME KD GLASSES","Tax","47900 · Sales","50000 · Cost of Goods Sold","12100 · Inventory Asset",0.00,"CHROME KD GLASSES",482,1.00,"PACIFIC COAST",,12.95,"","10110PCS"
,"Active","Inventory Part","1202","2-PLUG S TYPE MATING","Tax","47900 · Sales","50000 · Cost of Goods Sold","12100 · Inventory Asset",0.00,"2-PLUG S TYPE MATING",88,0.55,"MOTOBATT",,2.75,"","1202"
,"Active","Inventory Part","1222","9 VOLT CARBON ZINC","Tax","47900 · Sales","50000 · Cost of Goods Sold","12100 · Inventory Asset",0.00,"9 VOLT CARBON ZINC",0,0.33,"ENERGIZER BATTERY CO.",,0.66,"","1222 (BOX OF 72)"
,"Not-active","Inventory Part","1222VP","9 VOLT CARBON","Tax","52900 · Purchases - Resale Items","50000 · Cost of Goods Sold","12100 · Inventory Asset",0.00,"9 VOLT CARBON",0,0.30,"ENERGIZER BATTERY CO.",,0.62,"","1222VP"
,"Active","Inventory Part","12V1000AUTOC","12V 1000AM AUTO CHARGER","OOS","47900 · Sales","50000 · Cost of Goods Sold","12100 · Inventory Asset",0.00,"12V 1000AM AUTO CHARGER",-6,9.24,"QUICK CABLE",,21.95,"",
